id,name,description,keywords,IPN,link,image,minimum_stock,units,trackable,purchaseable,salable,active,notes,bom_checksum,bom_checked_date,bom_checked_by_id,category_id,default_location_id,default_supplier_id,is_template,variant_of_id,assembly,component,virtual,revision,creation_date,creation_user_id,level,lft,rght,tree_id,default_expiry,base_cost,multiple,metadata,barcode_data,barcode_hash,last_stocktake,responsible_owner_id,locked,revision_of_id,testable
5448,R_0603_HP_10R0_F_75V_100ppmK_generic,High Power Resistor 0603 10 Ω 1 % 75V 100ppmK generic,,005448-5448,http://short-circuits.sandbox.anybotics.com/part/5448/,,0,,false,true,false,true,,,,,85,,,false,,false,false,false,0,2025-09-04,1,0,5448,5449,1,0,0,1,{},,,,,false,,false
5449,R_0603_HP_10R0_F_75V_100ppmK_VishayDale_CRCW060310R0FKEAHP,High Power Resistor 0603 10 Ω 1 % 75V 100ppmK VishayDale CRCW060310R0FKEAHP,,005449-5449,http://short-circuits.sandbox.anybotics.com/part/5449/,,0,,false,true,false,true,,,,,86,,,false,,false,false,false,0,2025-09-04,1,0,5449,5450,1,0,0,1,{},,,,,false,,false
5450,R_0603_HP_11R0_F_75V_100ppmK_generic,High Power Resistor 0603 11 Ω 1 % 75V 100ppmK generic,,005450-5450,http://short-circuits.sandbox.anybotics.com/part/5450/,,0,,false,true,false,true,,,,,85,,,false,,false,false,false,0,2025-09-04,1,0,5450,5451,1,0,0,1,{},,,,,false,,false
5451,R_0603_HP_11R0_F_75V_100ppmK_VishayDale_CRCW060311R0FKEAHP,High Power Resistor 0603 11 Ω 1 % 75V 100ppmK VishayDale CRCW060311R0FKEAHP,,005451-5451,http://short-circuits.sandbox.anybotics.com/part/5451/,,0,,false,true,false,true,,,,,86,,,false,,false,false,false,0,2025-09-04,1,0,5451,5452,1,0,0,1,{},,,,,false,,false
5452,R_0603_HP_12R0_F_75V_100ppmK_generic,High Power Resistor 0603 12 Ω 1 % 75V 100ppmK generic,,005452-5452,http://short-circuits.sandbox.anybotics.com/part/5452/,,0,,false,true,false,true,,,,,85,,,false,,false,false,false,0,2025-09-04,1,0,5452,5453,1,0,0,1,{},,,,,false,,false
5453,R_0603_HP_12R0_F_75V_100ppmK_VishayDale_CRCW060312R0FKEAHP,High Power Resistor 0603 12 Ω 1 % 75V 100ppmK VishayDale CRCW060312R0FKEAHP,,005453-5453,http://short-circuits.sandbox.anybotics.com/part/5453/,,0,,false,true,false,true,,,,,86,,,false,,false,false,false,0,2025-09-04,1,0,5453,5454,1,0,0,1,{},,,,,false,,false
5454,R_0603_HP_13R0_F_75V_100ppmK_generic,High Power Resistor 0603 13 Ω 1 % 75V 100ppmK generic,,005454-5454,http://short-circuits.sandbox.anybotics.com/part/5454/,,0,,false,true,false,true,,,,,85,,,false,,false,false,false,0,2025-09-04,1,0,5454,5455,1,0,0,1,{},,,,,false,,false
5455,R_0603_HP_13R0_F_75V_100ppmK_VishayDale_CRCW060313R0FKEAHP,High Power Resistor 0603 13 Ω 1 % 75V 100ppmK VishayDale CRCW060313R0FKEAHP,,005455-5455,http://short-circuits.sandbox.anybotics.com/part/5455/,,0,,false,true,false,true,,,,,86,,,false,,false,false,false,0,2025-09-04,1,0,5455,5456,1,0,0,1,{},,,,,false,,false
5456,R_0603_HP_15R0_F_75V_100ppmK_generic,High Power Resistor 0603 15 Ω 1 % 75V 100ppmK generic,,005456-5456,http://short-circuits.sandbox.anybotics.com/part/5456/,,0,,false,true,false,true,,,,,85,,,false,,false,false,false,0,2025-09-04,1,0,5456,5457,1,0,0,1,{},,,,,false,,false
5457,R_0603_HP_15R0_F_75V_100ppmK_VishayDale_CRCW060315R0FKEAHP,High Power Resistor 0603 15 Ω 1 % 75V 100ppmK VishayDale CRCW060315R0FKEAHP,,005457-5457,http://short-circuits.sandbox.anybotics.com/part/5457/,,0,,false,true,false,true,,,,,86,,,false,,false,false,false,0,2025-09-04,1,0,5457,5458,1,0,0,1,{},,,,,false,,false
5458,R_0603_HP_16R0_F_75V_100ppmK_generic,High Power Resistor 0603 16 Ω 1 % 75V 100ppmK generic,,005458-5458,http://short-circuits.sandbox.anybotics.com/part/5458/,,0,,false,true,false,true,,,,,85,,,false,,false,false,false,0,2025-09-04,1,0,5458,5459,1,0,0,1,{},,,,,false,,false
5459,R_0603_HP_16R0_F_75V_100ppmK_VishayDale_CRCW060316R0FKEAHP,High Power Resistor 0603 16 Ω 1 % 75V 100ppmK VishayDale CRCW060316R0FKEAHP,,005459-5459,http://short-circuits.sandbox.anybotics.com/part/5459/,,0,,false,true,false,true,,,,,86,,,false,,false,false,false,0,2025-09-04,1,0,5459,5460,1,0,0,1,{},,,,,false,,false
5460,R_0603_HP_18R0_F_75V_100ppmK_generic,High Power Resistor 0603 18 Ω 1 % 75V 100ppmK generic,,005460-5460,http://short-circuits.sandbox.anybotics.com/part/5460/,,0,,false,true,false,true,,,,,85,,,false,,false,false,false,0,2025-09-04,1,0,5460,5461,1,0,0,1,{},,,,,false,,false
5461,R_0603_HP_18R0_F_75V_100ppmK_VishayDale_CRCW060318R0FKEAHP,High Power Resistor 0603 18 Ω 1 % 75V 100ppmK VishayDale CRCW060318R0FKEAHP,,005461-5461,http://short-circuits.sandbox.anybotics.com/part/5461/,,0,,false,true,false,true,,,,,86,,,false,,false,false,false,0,2025-09-04,1,0,5461,5462,1,0,0,1,{},,,,,false,,false
5462,R_0603_HP_20R0_F_75V_100ppmK_generic,High Power Resistor 0603 20 Ω 1 % 75V 100ppmK generic,,005462-5462,http://short-circuits.sandbox.anybotics.com/part/5462/,,0,,false,true,false,true,,,,,85,,,false,,false,false,false,0,2025-09-04,1,0,5462,5463,1,0,0,1,{},,,,,false,,false
5463,R_0603_HP_20R0_F_75V_100ppmK_VishayDale_CRCW060320R0FKEAHP,High Power Resistor 0603 20 Ω 1 % 75V 100ppmK VishayDale CRCW060320R0FKEAHP,,005463-5463,http://short-circuits.sandbox.anybotics.com/part/5463/,,0,,false,true,false,true,,,,,86,,,false,,false,false,false,0,2025-09-04,1,0,5463,5464,1,0,0,1,{},,,,,false,,false
5464,R_0603_HP_22R0_F_75V_100ppmK_generic,High Power Resistor 0603 22 Ω 1 % 75V 100ppmK generic,,005464-5464,http://short-circuits.sandbox.anybotics.com/part/5464/,,0,,false,true,false,true,,,,,85,,,false,,false,false,false,0,2025-09-04,1,0,5464,5465,1,0,0,1,{},,,,,false,,false
5465,R_0603_HP_22R0_F_75V_100ppmK_VishayDale_CRCW060322R0FKEAHP,High Power Resistor 0603 22 Ω 1 % 75V 100ppmK VishayDale CRCW060322R0FKEAHP,,005465-5465,http://short-circuits.sandbox.anybotics.com/part/5465/,,0,,false,true,false,true,,,,,86,,,false,,false,false,false,0,2025-09-04,1,0,5465,5466,1,0,0,1,{},,,,,false,,false
5466,R_0603_HP_24R0_F_75V_100ppmK_generic,High Power Resistor 0603 24 Ω 1 % 75V 100ppmK generic,,005466-5466,http://short-circuits.sandbox.anybotics.com/part/5466/,,0,,false,true,false,true,,,,,85,,,false,,false,false,false,0,2025-09-04,1,0,5466,5467,1,0,0,1,{},,,,,false,,false
5467,R_0603_HP_24R0_F_75V_100ppmK_VishayDale_CRCW060324R0FKEAHP,High Power Resistor 0603 24 Ω 1 % 75V 100ppmK VishayDale CRCW060324R0FKEAHP,,005467-5467,http://short-circuits.sandbox.anybotics.com/part/5467/,,0,,false,true,false,true,,,,,86,,,false,,false,false,false,0,2025-09-04,1,0,5467,5468,1,0,0,1,{},,,,,false,,false
5468,R_0603_HP_27R0_F_75V_100ppmK_generic,High Power Resistor 0603 27 Ω 1 % 75V 100ppmK generic,,005468-5468,http://short-circuits.sandbox.anybotics.com/part/5468/,,0,,false,true,false,true,,,,,85,,,false,,false,false,false,0,2025-09-04,1,0,5468,5469,1,0,0,1,{},,,,,false,,false
5469,R_0603_HP_27R0_F_75V_100ppmK_VishayDale_CRCW060327R0FKEAHP,High Power Resistor 0603 27 Ω 1 % 75V 100ppmK VishayDale CRCW060327R0FKEAHP,,005469-5469,http://short-circuits.sandbox.anybotics.com/part/5469/,,0,,false,true,false,true,,,,,86,,,false,,false,false,false,0,2025-09-04,1,0,5469,5470,1,0,0,1,{},,,,,false,,false
5470,R_0603_HP_30R0_F_75V_100ppmK_generic,High Power Resistor 0603 30 Ω 1 % 75V 100ppmK generic,,005470-5470,http://short-circuits.sandbox.anybotics.com/part/5470/,,0,,false,true,false,true,,,,,85,,,false,,false,false,false,0,2025-09-04,1,0,5470,5471,1,0,0,1,{},,,,,false,,false
5471,R_0603_HP_30R0_F_75V_100ppmK_VishayDale_CRCW060330R0FKEAHP,High Power Resistor 0603 30 Ω 1 % 75V 100ppmK VishayDale CRCW060330R0FKEAHP,,005471-5471,http://short-circuits.sandbox.anybotics.com/part/5471/,,0,,false,true,false,true,,,,,86,,,false,,false,false,false,0,2025-09-04,1,0,5471,5472,1,0,0,1,{},,,,,false,,false
5472,R_0603_HP_33R0_F_75V_100ppmK_generic,High Power Resistor 0603 33 Ω 1 % 75V 100ppmK generic,,005472-5472,http://short-circuits.sandbox.anybotics.com/part/5472/,,0,,false,true,false,true,,,,,85,,,false,,false,false,false,0,2025-09-04,1,0,5472,5473,1,0,0,1,{},,,,,false,,false
5473,R_0603_HP_33R0_F_75V_100ppmK_VishayDale_CRCW060333R0FKEAHP,High Power Resistor 0603 33 Ω 1 % 75V 100ppmK VishayDale CRCW060333R0FKEAHP,,005473-5473,http://short-circuits.sandbox.anybotics.com/part/5473/,,0,,false,true,false,true,,,,,86,,,false,,false,false,false,0,2025-09-04,1,0,5473,5474,1,0,0,1,{},,,,,false,,false
5474,R_0603_HP_36R0_F_75V_100ppmK_generic,High Power Resistor 0603 36 Ω 1 % 75V 100ppmK generic,,005474-5474,http://short-circuits.sandbox.anybotics.com/part/5474/,,0,,false,true,false,true,,,,,85,,,false,,false,false,false,0,2025-09-04,1,0,5474,5475,1,0,0,1,{},,,,,false,,false
5475,R_0603_HP_36R0_F_75V_100ppmK_VishayDale_CRCW060336R0FKEAHP,High Power Resistor 0603 36 Ω 1 % 75V 100ppmK VishayDale CRCW060336R0FKEAHP,,005475-5475,http://short-circuits.sandbox.anybotics.com/part/5475/,,0,,false,true,false,true,,,,,86,,,false,,false,false,false,0,2025-09-04,1,0,5475,5476,1,0,0,1,{},,,,,false,,false
5476,R_0603_HP_39R0_F_75V_100ppmK_generic,High Power Resistor 0603 39 Ω 1 % 75V 100ppmK generic,,005476-5476,http://short-circuits.sandbox.anybotics.com/part/5476/,,0,,false,true,false,true,,,,,85,,,false,,false,false,false,0,2025-09-04,1,0,5476,5477,1,0,0,1,{},,,,,false,,false
5477,R_0603_HP_39R0_F_75V_100ppmK_VishayDale_CRCW060339R0FKEAHP,High Power Resistor 0603 39 Ω 1 % 75V 100ppmK VishayDale CRCW060339R0FKEAHP,,005477-5477,http://short-circuits.sandbox.anybotics.com/part/5477/,,0,,false,true,false,true,,,,,86,,,false,,false,false,false,0,2025-09-04,1,0,5477,5478,1,0,0,1,{},,,,,false,,false
5478,R_0603_HP_43R0_F_75V_100ppmK_generic,High Power Resistor 0603 43 Ω 1 % 75V 100ppmK generic,,005478-5478,http://short-circuits.sandbox.anybotics.com/part/5478/,,0,,false,true,false,true,,,,,85,,,false,,false,false,false,0,2025-09-04,1,0,5478,5479,1,0,0,1,{},,,,,false,,false
5479,R_0603_HP_43R0_F_75V_100ppmK_VishayDale_CRCW060343R0FKEAHP,High Power Resistor 0603 43 Ω 1 % 75V 100ppmK VishayDale CRCW060343R0FKEAHP,,005479-5479,http://short-circuits.sandbox.anybotics.com/part/5479/,,0,,false,true,false,true,,,,,86,,,false,,false,false,false,0,2025-09-04,1,0,5479,5480,1,0,0,1,{},,,,,false,,false
5480,R_0603_HP_47R0_F_75V_100ppmK_generic,High Power Resistor 0603 47 Ω 1 % 75V 100ppmK generic,,005480-5480,http://short-circuits.sandbox.anybotics.com/part/5480/,,0,,false,true,false,true,,,,,85,,,false,,false,false,false,0,2025-09-04,1,0,5480,5481,1,0,0,1,{},,,,,false,,false
5481,R_0603_HP_47R0_F_75V_100ppmK_VishayDale_CRCW060347R0FKEAHP,High Power Resistor 0603 47 Ω 1 % 75V 100ppmK VishayDale CRCW060347R0FKEAHP,,005481-5481,http://short-circuits.sandbox.anybotics.com/part/5481/,,0,,false,true,false,true,,,,,86,,,false,,false,false,false,0,2025-09-04,1,0,5481,5482,1,0,0,1,{},,,,,false,,false
5482,R_0603_HP_51R0_F_75V_100ppmK_generic,High Power Resistor 0603 51 Ω 1 % 75V 100ppmK generic,,005482-5482,http://short-circuits.sandbox.anybotics.com/part/5482/,,0,,false,true,false,true,,,,,85,,,false,,false,false,false,0,2025-09-04,1,0,5482,5483,1,0,0,1,{},,,,,false,,false
5483,R_0603_HP_51R0_F_75V_100ppmK_VishayDale_CRCW060351R0FKEAHP,High Power Resistor 0603 51 Ω 1 % 75V 100ppmK VishayDale CRCW060351R0FKEAHP,,005483-5483,http://short-circuits.sandbox.anybotics.com/part/5483/,,0,,false,true,false,true,,,,,86,,,false,,false,false,false,0,2025-09-04,1,0,5483,5484,1,0,0,1,{},,,,,false,,false
5484,R_0603_HP_56R0_F_75V_100ppmK_generic,High Power Resistor 0603 56 Ω 1 % 75V 100ppmK generic,,005484-5484,http://short-circuits.sandbox.anybotics.com/part/5484/,,0,,false,true,false,true,,,,,85,,,false,,false,false,false,0,2025-09-04,1,0,5484,5485,1,0,0,1,{},,,,,false,,false
5485,R_0603_HP_56R0_F_75V_100ppmK_VishayDale_CRCW060356R0FKEAHP,High Power Resistor 0603 56 Ω 1 % 75V 100ppmK VishayDale CRCW060356R0FKEAHP,,005485-5485,http://short-circuits.sandbox.anybotics.com/part/5485/,,0,,false,true,false,true,,,,,86,,,false,,false,false,false,0,2025-09-04,1,0,5485,5486,1,0,0,1,{},,,,,false,,false
5486,R_0603_HP_62R0_F_75V_100ppmK_generic,High Power Resistor 0603 62 Ω 1 % 75V 100ppmK generic,,005486-5486,http://short-circuits.sandbox.anybotics.com/part/5486/,,0,,false,true,false,true,,,,,85,,,false,,false,false,false,0,2025-09-04,1,0,5486,5487,1,0,0,1,{},,,,,false,,false
5487,R_0603_HP_62R0_F_75V_100ppmK_VishayDale_CRCW060362R0FKEAHP,High Power Resistor 0603 62 Ω 1 % 75V 100ppmK VishayDale CRCW060362R0FKEAHP,,005487-5487,http://short-circuits.sandbox.anybotics.com/part/5487/,,0,,false,true,false,true,,,,,86,,,false,,false,false,false,0,2025-09-04,1,0,5487,5488,1,0,0,1,{},,,,,false,,false
5488,R_0603_HP_68R0_F_75V_100ppmK_generic,High Power Resistor 0603 68 Ω 1 % 75V 100ppmK generic,,005488-5488,http://short-circuits.sandbox.anybotics.com/part/5488/,,0,,false,true,false,true,,,,,85,,,false,,false,false,false,0,2025-09-04,1,0,5488,5489,1,0,0,1,{},,,,,false,,false
5489,R_0603_HP_68R0_F_75V_100ppmK_VishayDale_CRCW060368R0FKEAHP,High Power Resistor 0603 68 Ω 1 % 75V 100ppmK VishayDale CRCW060368R0FKEAHP,,005489-5489,http://short-circuits.sandbox.anybotics.com/part/5489/,,0,,false,true,false,true,,,,,86,,,false,,false,false,false,0,2025-09-04,1,0,5489,5490,1,0,0,1,{},,,,,false,,false
5490,R_0603_HP_75R0_F_75V_100ppmK_generic,High Power Resistor 0603 75 Ω 1 % 75V 100ppmK generic,,005490-5490,http://short-circuits.sandbox.anybotics.com/part/5490/,,0,,false,true,false,true,,,,,85,,,false,,false,false,false,0,2025-09-04,1,0,5490,5491,1,0,0,1,{},,,,,false,,false
5491,R_0603_HP_75R0_F_75V_100ppmK_VishayDale_CRCW060375R0FKEAHP,High Power Resistor 0603 75 Ω 1 % 75V 100ppmK VishayDale CRCW060375R0FKEAHP,,005491-5491,http://short-circuits.sandbox.anybotics.com/part/5491/,,0,,false,true,false,true,,,,,86,,,false,,false,false,false,0,2025-09-04,1,0,5491,5492,1,0,0,1,{},,,,,false,,false
5492,R_0603_HP_82R0_F_75V_100ppmK_generic,High Power Resistor 0603 82 Ω 1 % 75V 100ppmK generic,,005492-5492,http://short-circuits.sandbox.anybotics.com/part/5492/,,0,,false,true,false,true,,,,,85,,,false,,false,false,false,0,2025-09-04,1,0,5492,5493,1,0,0,1,{},,,,,false,,false
5493,R_0603_HP_82R0_F_75V_100ppmK_VishayDale_CRCW060382R0FKEAHP,High Power Resistor 0603 82 Ω 1 % 75V 100ppmK VishayDale CRCW060382R0FKEAHP,,005493-5493,http://short-circuits.sandbox.anybotics.com/part/5493/,,0,,false,true,false,true,,,,,86,,,false,,false,false,false,0,2025-09-04,1,0,5493,5494,1,0,0,1,{},,,,,false,,false
5494,R_0603_HP_91R0_F_75V_100ppmK_generic,High Power Resistor 0603 91 Ω 1 % 75V 100ppmK generic,,005494-5494,http://short-circuits.sandbox.anybotics.com/part/5494/,,0,,false,true,false,true,,,,,85,,,false,,false,false,false,0,2025-09-04,1,0,5494,5495,1,0,0,1,{},,,,,false,,false
5495,R_0603_HP_91R0_F_75V_100ppmK_VishayDale_CRCW060391R0FKEAHP,High Power Resistor 0603 91 Ω 1 % 75V 100ppmK VishayDale CRCW060391R0FKEAHP,,005495-5495,http://short-circuits.sandbox.anybotics.com/part/5495/,,0,,false,true,false,true,,,,,86,,,false,,false,false,false,0,2025-09-04,1,0,5495,5496,1,0,0,1,{},,,,,false,,false
5496,R_0603_HP_100R0_F_75V_100ppmK_generic,High Power Resistor 0603 100 Ω 1 % 75V 100ppmK generic,,005496-5496,http://short-circuits.sandbox.anybotics.com/part/5496/,,0,,false,true,false,true,,,,,85,,,false,,false,false,false,0,2025-09-04,1,0,5496,5497,1,0,0,1,{},,,,,false,,false
5497,R_0603_HP_100R0_F_75V_100ppmK_VishayDale_CRCW0603100RFKEAHP,High Power Resistor 0603 100 Ω 1 % 75V 100ppmK VishayDale CRCW0603100RFKEAHP,,005497-5497,http://short-circuits.sandbox.anybotics.com/part/5497/,,0,,false,true,false,true,,,,,86,,,false,,false,false,false,0,2025-09-04,1,0,5497,5498,1,0,0,1,{},,,,,false,,false
5498,R_0603_HP_110R0_F_75V_100ppmK_generic,High Power Resistor 0603 110 Ω 1 % 75V 100ppmK generic,,005498-5498,http://short-circuits.sandbox.anybotics.com/part/5498/,,0,,false,true,false,true,,,,,85,,,false,,false,false,false,0,2025-09-04,1,0,5498,5499,1,0,0,1,{},,,,,false,,false
5499,R_0603_HP_110R0_F_75V_100ppmK_VishayDale_CRCW0603110RFKEAHP,High Power Resistor 0603 110 Ω 1 % 75V 100ppmK VishayDale CRCW0603110RFKEAHP,,005499-5499,http://short-circuits.sandbox.anybotics.com/part/5499/,,0,,false,true,false,true,,,,,86,,,false,,false,false,false,0,2025-09-04,1,0,5499,5500,1,0,0,1,{},,,,,false,,false
5500,R_0603_HP_120R0_F_75V_100ppmK_generic,High Power Resistor 0603 120 Ω 1 % 75V 100ppmK generic,,005500-5500,http://short-circuits.sandbox.anybotics.com/part/5500/,,0,,false,true,false,true,,,,,85,,,false,,false,false,false,0,2025-09-04,1,0,5500,5501,1,0,0,1,{},,,,,false,,false
5501,R_0603_HP_120R0_F_75V_100ppmK_VishayDale_CRCW0603120RFKEAHP,High Power Resistor 0603 120 Ω 1 % 75V 100ppmK VishayDale CRCW0603120RFKEAHP,,005501-5501,http://short-circuits.sandbox.anybotics.com/part/5501/,,0,,false,true,false,true,,,,,86,,,false,,false,false,false,0,2025-09-04,1,0,5501,5502,1,0,0,1,{},,,,,false,,false
5502,R_0603_HP_130R0_F_75V_100ppmK_generic,High Power Resistor 0603 130 Ω 1 % 75V 100ppmK generic,,005502-5502,http://short-circuits.sandbox.anybotics.com/part/5502/,,0,,false,true,false,true,,,,,85,,,false,,false,false,false,0,2025-09-04,1,0,5502,5503,1,0,0,1,{},,,,,false,,false
5503,R_0603_HP_130R0_F_75V_100ppmK_VishayDale_CRCW0603130RFKEAHP,High Power Resistor 0603 130 Ω 1 % 75V 100ppmK VishayDale CRCW0603130RFKEAHP,,005503-5503,http://short-circuits.sandbox.anybotics.com/part/5503/,,0,,false,true,false,true,,,,,86,,,false,,false,false,false,0,2025-09-04,1,0,5503,5504,1,0,0,1,{},,,,,false,,false
5504,R_0603_HP_150R0_F_75V_100ppmK_generic,High Power Resistor 0603 150 Ω 1 % 75V 100ppmK generic,,005504-5504,http://short-circuits.sandbox.anybotics.com/part/5504/,,0,,false,true,false,true,,,,,85,,,false,,false,false,false,0,2025-09-04,1,0,5504,5505,1,0,0,1,{},,,,,false,,false
5505,R_0603_HP_150R0_F_75V_100ppmK_VishayDale_CRCW0603150RFKEAHP,High Power Resistor 0603 150 Ω 1 % 75V 100ppmK VishayDale CRCW0603150RFKEAHP,,005505-5505,http://short-circuits.sandbox.anybotics.com/part/5505/,,0,,false,true,false,true,,,,,86,,,false,,false,false,false,0,2025-09-04,1,0,5505,5506,1,0,0,1,{},,,,,false,,false
5506,R_0603_HP_160R0_F_75V_100ppmK_generic,High Power Resistor 0603 160 Ω 1 % 75V 100ppmK generic,,005506-5506,http://short-circuits.sandbox.anybotics.com/part/5506/,,0,,false,true,false,true,,,,,85,,,false,,false,false,false,0,2025-09-04,1,0,5506,5507,1,0,0,1,{},,,,,false,,false
5507,R_0603_HP_160R0_F_75V_100ppmK_VishayDale_CRCW0603160RFKEAHP,High Power Resistor 0603 160 Ω 1 % 75V 100ppmK VishayDale CRCW0603160RFKEAHP,,005507-5507,http://short-circuits.sandbox.anybotics.com/part/5507/,,0,,false,true,false,true,,,,,86,,,false,,false,false,false,0,2025-09-04,1,0,5507,5508,1,0,0,1,{},,,,,false,,false
