CATEGORY,TYPE,NAME,REVISION,DESCRIPTION,NOTES,DESIGNATOR [str],VALUE [str],SYMBOL [str],FOOTPRINT [str],PACKAGE [str],HEIGHT [mm],VZENER [V],minVBR@IT [V],IT [A],VZTOL [%],VZDRIFT [mV/K],VFMAX [V],IFMAX [A],RTHJA [K/W],RTHJC [K/W],TJMIN [°C],TJMAX [°C],PMAX [W],SOLDER_TECHNOLOGY [str],IEC61709 [int],OTHERPROPERTIES [str],CREATED [str],VERIFIED [str],KICAD_VISIBILITY [str],MANUFACTURER,MPN,DATASHEET_LINK,DATASHEET_REVISION,SUBSTANCES,SUPPLIER1_NAME,SUPPLIER1_SKU,SUPPLIER1_STATUS,RELATEDPARTS
Active Component / Diode / TVS,generic,D_TVS_SOD-123FL_SMF5-0A_generic,0,generic TVS 5 V 0.01 A,,D,SMF5-0A,,Diode_SMD:D_SOD-123F,SOD-123FL,1.1 mm,5 V,6.4 V,0.01 A,,,,,220 K/W,100 K/W,- 65 °C,150 °C,200 W,SMT,,,,,,,,,,,,,,"D_TVS_SOD-123FL_SMF5-0A_LittelfuseInc_SMF50A, D_TVS_SOD-123FL_SMF5-0A_EatonElectronicsDivision_SMF50A"
Active Component / Diode / TVS,specific,D_TVS_SOD-123FL_SMF5-0A_LittelfuseInc_SMF50A,0,TVS 5 V 0.01 A,,D,SMF5-0A,,Diode_SMD:D_SOD-123F,SOD-123FL,1.1 mm,5 V,6.4 V,0.01 A,,,,,220 K/W,100 K/W,- 65 °C,150 °C,200 W,SMT,,,,,,Littelfuse Inc.,SMF5.0A,https://www.littelfuse.com/assetdocs/tvs-diodes-smf-datasheet?assetguid=7eb8a5b6-bdd0-4561-8f19-0c3cc6f9b2af,2023-11-02,RoHS3 2015/863,DIGIKEY,F5748CT-ND,,
Active Component / Diode / TVS,specific,D_TVS_SOD-123FL_SMF5-0A_EatonElectronicsDivision_SMF50A,0,TVS 5 V 0.01 A,,D,SMF5-0A,,Diode_SMD:D_SOD-123F,SOD-123FL,1.1 mm,5 V,6.4 V,0.01 A,,,,,220 K/W,100 K/W,- 65 °C,150 °C,200 W,SMT,,,,,,Eaton - Electronics Division,SMF5-0A,https://www.eaton.com/content/dam/eaton/products/electronic-components/resources/data-sheet/eaton-smfe-tvs-diode-power-esd-suppressor-data-sheet.pdf,2024-09-01,RoHS3 2015/863,DIGIKEY,283-SMF5-0ATR-ND,,
Active Component / Diode / TVS,specific,,0,TVS 5 V 0.01 A,,D,,,Diode_SMD:D_SOD-123F,SOD-123FL,1.1 mm,5 V,6.4 V,0.01 A,,,,,220 K/W,100 K/W,- 65 °C,150 °C,200 W,SMT,,,,,,,,,,,,,,
Active Component / Diode / TVS,generic,D_TVS_SOD-123FL_SMF6-0A_generic,0,generic TVS 6 V 0.01 A,,D,SMF6-0A,,Diode_SMD:D_SOD-123F,SOD-123FL,1.1 mm,6 V,6.67 V,0.01 A,,,,,220 K/W,100 K/W,- 65 °C,150 °C,200 W,SMT,,,,,,,,,,,,,,
Active Component / Diode / TVS,specific,D_TVS_SOD-123FL_SMF6-0A_LittelfuseInc_SMF60A,0,TVS 6 V 0.01 A,,D,SMF6-0A,,Diode_SMD:D_SOD-123F,SOD-123FL,1.1 mm,6 V,6.67 V,0.01 A,,,,,220 K/W,100 K/W,- 65 °C,150 °C,200 W,SMT,,,,,,Littelfuse Inc.,SMF6.0A,https://www.littelfuse.com/assetdocs/tvs-diodes-smf-datasheet?assetguid=7eb8a5b6-bdd0-4561-8f19-0c3cc6f9b2af,2023-11-02,,DIGIKEY,F5749CT-ND,,
Active Component / Diode / TVS,specific,D_TVS_SOD-123FL_SMF6-0A_EatonElectronicsDivision_SMF60A,0,TVS 6 V 0.01 A,,D,SMF6-0A,,Diode_SMD:D_SOD-123F,SOD-123FL,1.1 mm,6 V,6.67 V,0.01 A,,,,,220 K/W,100 K/W,- 65 °C,150 °C,200 W,SMT,,,,,,Eaton - Electronics Division,SMF6-0A,https://www.eaton.com/content/dam/eaton/products/electronic-components/resources/data-sheet/eaton-smfe-tvs-diode-power-esd-suppressor-data-sheet.pdf,2024-09-01,,DIGIKEY,283-SMF6-0ATR-ND,,
Active Component / Diode / TVS,specific,,0,TVS 6 V 0.01 A,,D,,,Diode_SMD:D_SOD-123F,SOD-123FL,1.1 mm,6 V,6.67 V,0.01 A,,,,,220 K/W,100 K/W,- 65 °C,150 °C,200 W,SMT,,,,,,,,,,,,,,
Active Component / Diode / TVS,generic,D_TVS_SOD-123FL_SMF5-0CA_generic,0,generic TVS 5 V SOD-123FL 6.4 V 0.01 A,,D,SMF5-0CA,,Diode_SMD:D_SOD-123F,SOD-123FL,1.1 mm,5 V,6.4 V,0.01 A,,,,,220 K/W,100 K/W,- 65 °C,150 °C,200 W,SMT,,,,,,,,,,,,,,
Active Component / Diode / TVS,specific,D_TVS_SOD-123FL_SMF5-0CA_LittelfuseInc_SMF50CA,0,TVS 5 V SOD-123FL 6.4 V 0.01 A,,D,SMF5-0CA,,Diode_SMD:D_SOD-123F,SOD-123FL,1.1 mm,5 V,6.4 V,0.01 A,,,,,220 K/W,100 K/W,- 65 °C,150 °C,200 W,SMT,,,,,,Littelfuse Inc.,SMF5.0CA,https://www.littelfuse.com/assetdocs/tvs-diodes-smf-datasheet?assetguid=7eb8a5b6-bdd0-4561-8f19-0c3cc6f9b2af,2023-11-02,,DIGIKEY,18-SMF5.0CACT-ND,,
Active Component / Diode / TVS,specific,D_TVS_SOD-123FL_SMF5-0CA_EatonElectronicsDivision_SMF50CA,0,TVS 5 V SOD-123FL 6.4 V 0.01 A,,D,SMF5-0CA,,Diode_SMD:D_SOD-123F,SOD-123FL,1.1 mm,5 V,6.4 V,0.01 A,,,,,220 K/W,100 K/W,- 65 °C,150 °C,200 W,SMT,,,,,,Eaton - Electronics Division,SMF5-0CA,https://www.eaton.com/content/dam/eaton/products/electronic-components/resources/data-sheet/eaton-smfe-tvs-diode-power-esd-suppressor-data-sheet.pdf,2024-09-01,,DIGIKEY,283-SMF5-0CATR-ND,,
Active Component / Diode / TVS,specific,,0,TVS 5 V SOD-123FL 6.4 V 0.01 A,,D,SMF5-0CA,,Diode_SMD:D_SOD-123F,SOD-123FL,1.1 mm,5 V,6.4 V,0.01 A,,,,,220 K/W,100 K/W,- 65 °C,150 °C,200 W,SMT,,,,,,,,,,,,,,
Active Component / Diode / TVS,generic,D_TVS_SOD-123FL_SMF6-0CA_generic,0,generic TVS 6 V SOD-123FL 6.67 V 0.01 A,,D,SMF6-0CA,,Diode_SMD:D_SOD-123F,SOD-123FL,1.1 mm,6 V,6.67 V,0.01 A,,,,,220 K/W,100 K/W,- 65 °C,150 °C,200 W,SMT,,,,,,,,,,,,,,
Active Component / Diode / TVS,specific,D_TVS_SOD-123FL_SMF6-0CA_LittelfuseInc_SMF60CA,0,TVS 6 V SOD-123FL 6.67 V 0.01 A,,D,SMF6-0CA,,Diode_SMD:D_SOD-123F,SOD-123FL,1.1 mm,6 V,6.67 V,0.01 A,,,,,220 K/W,100 K/W,- 65 °C,150 °C,200 W,SMT,,,,,,Littelfuse Inc.,SMF6.0CA,https://www.littelfuse.com/assetdocs/tvs-diodes-smf-datasheet?assetguid=7eb8a5b6-bdd0-4561-8f19-0c3cc6f9b2af,2023-11-02,,DIGIKEY,18-SMF6.0CACT-ND,,
Active Component / Diode / TVS,specific,D_TVS_SOD-123FL_SMF6-0CA_EatonElectronicsDivision_SMF60CA,0,TVS 6 V SOD-123FL 6.67 V 0.01 A,,D,SMF6-0CA,,Diode_SMD:D_SOD-123F,SOD-123FL,1.1 mm,6 V,6.67 V,0.01 A,,,,,220 K/W,100 K/W,- 65 °C,150 °C,200 W,SMT,,,,,,Eaton - Electronics Division,SMF6-0CA,https://www.eaton.com/content/dam/eaton/products/electronic-components/resources/data-sheet/eaton-smfe-tvs-diode-power-esd-suppressor-data-sheet.pdf,2024-09-01,,DIGIKEY,283-SMF6-0CATR-ND,,
Active Component / Diode / TVS,specific,,0,TVS 6 V SOD-123FL 6.67 V 0.01 A,,D,SMF6-0CA,,Diode_SMD:D_SOD-123F,SOD-123FL,1.1 mm,6 V,6.67 V,0.01 A,,,,,220 K/W,100 K/W,- 65 °C,150 °C,200 W,SMT,,,,,,,,,,,,,,
Active Component / Diode / TVS,generic,D_TVS_SOD-123FL_SMF6-5CA_generic,0,generic TVS 6.5 V SOD-123FL 7.22 V 0.01 A,,D,SMF6-5CA,,Diode_SMD:D_SOD-123F,SOD-123FL,1.1 mm,6.5 V,7.22 V,0.01 A,,,,,220 K/W,100 K/W,- 65 °C,150 °C,200 W,SMT,,,,,,,,,,,,,,
Active Component / Diode / TVS,specific,D_TVS_SOD-123FL_SMF6-5CA_LittelfuseInc_SMF65CA,0,TVS 6.5 V SOD-123FL 7.22 V 0.01 A,,D,SMF6-5CA,,Diode_SMD:D_SOD-123F,SOD-123FL,1.1 mm,6.5 V,7.22 V,0.01 A,,,,,220 K/W,100 K/W,- 65 °C,150 °C,200 W,SMT,,,,,,Littelfuse Inc.,SMF6.5CA,https://www.littelfuse.com/assetdocs/tvs-diodes-smf-datasheet?assetguid=7eb8a5b6-bdd0-4561-8f19-0c3cc6f9b2af,2023-11-02,,DIGIKEY,18-SMF6.5CACT-ND,,
Active Component / Diode / TVS,specific,D_TVS_SOD-123FL_SMF6-5CA_EatonElectronicsDivision_SMF65CA,0,TVS 6.5 V SOD-123FL 7.22 V 0.01 A,,D,SMF6-5CA,,Diode_SMD:D_SOD-123F,SOD-123FL,1.1 mm,6.5 V,7.22 V,0.01 A,,,,,220 K/W,100 K/W,- 65 °C,150 °C,200 W,SMT,,,,,,Eaton - Electronics Division,SMF6-5CA,https://www.eaton.com/content/dam/eaton/products/electronic-components/resources/data-sheet/eaton-smfe-tvs-diode-power-esd-suppressor-data-sheet.pdf,2024-09-01,,DIGIKEY,283-SMF6-5CATR-ND,,
Active Component / Diode / TVS,specific,,0,TVS 6.5 V SOD-123FL 7.22 V 0.01 A,,D,SMF6-5CA,,Diode_SMD:D_SOD-123F,SOD-123FL,1.1 mm,6.5 V,7.22 V,0.01 A,,,,,220 K/W,100 K/W,- 65 °C,150 °C,200 W,SMT,,,,,,,,,,,,,,
Active Component / Diode / TVS,generic,D_TVS_SOD-123FL_SMF7-0CA_generic,0,generic TVS 7 V SOD-123FL 7.78 V 0.01 A,,D,SMF7-0CA,,Diode_SMD:D_SOD-123F,SOD-123FL,1.1 mm,7 V,7.78 V,0.01 A,,,,,220 K/W,100 K/W,- 65 °C,150 °C,200 W,SMT,,,,,,,,,,,,,,
Active Component / Diode / TVS,specific,D_TVS_SOD-123FL_SMF7-0CA_LittelfuseInc_SMF70CA,0,TVS 7 V SOD-123FL 7.78 V 0.01 A,,D,SMF7-0CA,,Diode_SMD:D_SOD-123F,SOD-123FL,1.1 mm,7 V,7.78 V,0.01 A,,,,,220 K/W,100 K/W,- 65 °C,150 °C,200 W,SMT,,,,,,Littelfuse Inc.,SMF7.0CA,https://www.littelfuse.com/assetdocs/tvs-diodes-smf-datasheet?assetguid=7eb8a5b6-bdd0-4561-8f19-0c3cc6f9b2af,2023-11-02,,DIGIKEY,18-SMF7.0CACT-ND,,
Active Component / Diode / TVS,specific,D_TVS_SOD-123FL_SMF7-0CA_EatonElectronicsDivision_SMF70CA,0,TVS 7 V SOD-123FL 7.78 V 0.01 A,,D,SMF7-0CA,,Diode_SMD:D_SOD-123F,SOD-123FL,1.1 mm,7 V,7.78 V,0.01 A,,,,,220 K/W,100 K/W,- 65 °C,150 °C,200 W,SMT,,,,,,Eaton - Electronics Division,SMF7-0CA,https://www.eaton.com/content/dam/eaton/products/electronic-components/resources/data-sheet/eaton-smfe-tvs-diode-power-esd-suppressor-data-sheet.pdf,2024-09-01,,DIGIKEY,283-SMF7-0CATR-ND,,
Active Component / Diode / TVS,specific,,0,TVS 7 V SOD-123FL 7.78 V 0.01 A,,D,SMF7-0CA,,Diode_SMD:D_SOD-123F,SOD-123FL,1.1 mm,7 V,7.78 V,0.01 A,,,,,220 K/W,100 K/W,- 65 °C,150 °C,200 W,SMT,,,,,,,,,,,,,,
Active Component / Diode / TVS,generic,D_TVS_DO-214AC _SMAJ12A_generic,0,generic TVS 12 V DO-214AC  1 A 60 A,,D,SMAJ12A,Device:D_TVS,Diode_SMD:D_SMA,DO-214AC ,2.29 mm,12 V,,1 A,,,3.5 V,60 A,120 K/W,30 K/W,- 65 °C,150 °C,400 W,SMT,,,,,,,,,,,,,,
Active Component / Diode / TVS,specific,D_TVS_DO-214AC _SMAJ12A_LittelfuseInc_SMAJ12A,0,TVS 12 V DO-214AC  1 A 60 A,,D,SMAJ12A,Device:D_TVS,Diode_SMD:D_SMA,DO-214AC ,2.29 mm,12 V,,1 A,,,3.5 V,60 A,120 K/W,30 K/W,- 65 °C,150 °C,400 W,SMT,,,,,,Littelfuse Inc.,SMAJ12A,https://www.littelfuse.com/assetdocs/tvs-diodes-smaj-datasheet?assetguid=13c2a823-03b8-4d1f-9ddc-9b44670aed9d,2022-07-22,,DIGIKEY,SMAJ12ALFCT-ND,,
Active Component / Diode / TVS,specific,D_TVS_DO-214AC _SMAJ12A_BournsInc_SMAJ12A,0,TVS 12 V DO-214AC  1 A 60 A,,D,SMAJ12A,Device:D_TVS,Diode_SMD:D_SMA,DO-214AC ,2.29 mm,12 V,,1 A,,,3.5 V,60 A,120 K/W,30 K/W,- 65 °C,150 °C,400 W,SMT,,,,,,Bourns Inc.,SMAJ12A,https://www.bourns.com/docs/Product-Datasheets/SMAJ.pdf,2020-09-01,RoHS3 2015/863,DIGIKEY,SMAJ12ABCT-ND,,
Active Component / Diode / TVS,specific,,0,TVS 12 V DO-214AC  1 A 60 A,,D,SMAJ12A,Device:D_TVS,Diode_SMD:D_SMA,DO-214AC ,2.29 mm,12 V,,1 A,,,3.5 V,60 A,120 K/W,30 K/W,- 65 °C,150 °C,400 W,SMT,,,,,,,,,,,,,,